step,GoofSpiel3/conv,GoofSpiel3/iters,GoofSpiel3/nodes_touched,GoofSpiel3/tau,GoofSpiel3/alpha,GoofSpiel3/beta,GoofSpiel3/gamma
45,3.1703005185039164e-09,45,6030,1,0.4999316435681007,-1.5380530360641422,4.999211927294644
46,2.7825773234414243e-09,46,6164,1,0.4995042145374873,-1.548664875009348,4.999207416306377
47,2.4490633363588103e-09,47,6298,1,0.4991481815547285,-1.5591875317014035,4.999202687501903
48,2.161267272562259e-09,48,6432,1,0.4988600381043793,-1.5696244715453833,4.9991977455797
49,1.9121652582385127e-09,49,6566,1,0.4986365298039339,-1.5799789502143313,4.999192594703857
50,1.695924406643494e-09,50,6700,1,0.49847463172653095,-1.5902540303858692,4.999187238552375
51,1.5076826072325975e-09,51,6834,1,0.4983715281652419,-1.600452596828652,4.99918168035982
52,1.3433722849224078e-09,52,6968,1,0.49832459453424427,-1.610577370031019,4.999175922955063
53,1.1995787234750013e-09,53,7102,1,0.49833138114525743,-1.6206309185384975,4.9991699687947655
54,1.073425688384541e-09,54,7236,1,0.4983895986339073,-1.6306156701448964,4.999163819993133
55,9.624827101100178e-10,55,7370,1,0.4984971048413467,-1.640533922063113,4.999157478348412
56,8.646896289518628e-10,56,7504,1,0.4986518929825263,-1.6503878501857983,4.999150945366532
57,7.782949543870272e-10,57,7638,1,0.49885208095462863,-1.6601795175323968,4.999144222282228
58,7.018053251792424e-10,58,7772,1,0.499095901658114,-1.6699108819672426,4.99913731007795
59,6.33943924722087e-10,59,7906,1,0.49938169288234757,-1.6795834698968928,4.999130209708028
60,5.736161481566252e-10,60,8040,1,0.4997078768700356,-1.68919516071372,4.999122924134233
61,5.198811633381606e-10,61,8174,1,0.500072979023519,-1.6987465574766172,4.999115454403342
62,4.719282789335618e-10,62,8308,1,0.5004756138985482,-1.7082393058019956,4.99910780067793
63,4.290572466988206e-10,63,8442,1,0.5009144831830878,-1.717674927488918,4.99909996297052
64,3.9066179414802104e-10,64,8576,1,0.5013883553795575,-1.7270549016250674,4.9990919411083725
65,3.5621581820474177e-10,65,8710,1,0.5018960616096186,-1.7363806659141934,4.999083734743749
66,3.2526177757682195e-10,66,8844,1,0.5024364962681402,-1.7456535935040993,4.9990753433779815
67,2.9740090733860536e-10,67,8978,1,0.50300934771804,-1.7548677214669473,4.999066776440024
68,2.722849480723628e-10,68,9112,1,0.5036149219603316,-1.7640114155093842,4.9990580513283
69,2.4960913741205257e-10,69,9246,1,0.5042522715565818,-1.7730858796762856,4.999049167733919
70,2.2910625667088278e-10,70,9380,1,0.5049204731582981,-1.7820925185101877,4.9990401248991105
71,2.105415616276932e-10,71,9514,1,0.505614299262739,-1.7910151651575288,4.999030913880761
72,1.9370845613951953e-10,72,9648,1,0.506327369348589,-1.7998327113634711,4.9990215231340045
73,1.7842479139862456e-10,73,9782,1,0.5070592306811843,-1.8085476650662908,4.999011951819686
74,1.645296934228825e-10,74,9916,1,0.5078094789774488,-1.8171625479978437,4.999002199049347
75,1.5188083758461135e-10,75,10050,1,0.5085777286082152,-1.8256797855068139,4.998992263836267
76,1.403521023317646e-10,76,10184,1,0.5093636115579658,-1.834101711376359,4.9989821450990926
77,1.2983154527043867e-10,77,10318,1,0.5101667764554116,-1.842430572344282,4.998971841665131
78,1.2021965389065708e-10,78,10452,1,0.5109868876692405,-1.850668532347572,4.998961352273362
79,1.1142783077594327e-10,79,10586,1,0.5118236244639065,-1.8588176765112125,4.998950675577158
80,1.0337707942195796e-10,80,10720,1,0.5126766802107576,-1.8668800148996316,4.998939810146768
81,9.599686202769353e-11,81,10854,1,0.5135457616502734,-1.8748574860475395,4.998928754471564
82,8.922410499887218e-11,82,10988,1,0.5144304758201246,-1.8827518861495958,4.998917507455475
83,8.300233156762366e-11,83,11122,1,0.5153302722056701,-1.890564834715521,4.998906068693987
84,7.72809040078617e-11,84,11256,1,0.5162448951750571,-1.8982980763916097,4.9988944364853864
85,7.201436051183916e-11,85,11390,1,0.5171741141898014,-1.905953305910677,4.998882608991041
86,6.716183397332409e-11,86,11524,1,0.5181177082811994,-1.9135321608299918,4.998870584302053
87,6.268654176384756e-11,87,11658,1,0.5190754655914034,-1.921036224047549,4.998858360440336
88,5.855533714643726e-11,88,11792,1,0.5200470223841138,-1.9284673874332523,4.998845935789346
89,5.473831429217303e-11,89,11926,1,0.5210302033073342,-1.9358315861028688,4.998833313597589
90,5.1208459987853214e-11,90,12060,1,0.5220242511128383,-1.943131515230065,4.9988204933436275
91,4.794134607773997e-11,91,12194,1,0.5230288122702458,-1.9503687006693486,4.998807472540875
92,4.491485749689206e-11,92,12328,1,0.5240440941000606,-1.9575479702003635,4.9987942539312895
93,4.210895144972001e-11,93,12462,1,0.5250699013020843,-1.9646775018385934,4.998780850714963
94,3.950544388352532e-11,94,12596,1,0.5261028747658647,-1.9717542260961927,4.998767271188454
95,3.708781991670628e-11,95,12730,1,0.527142697469767,-1.978778743651345,4.998753514015519
96,3.4841065319344876e-11,96,12864,1,0.5281892967544879,-1.9857519480232129,4.998739577106876
97,3.275151652127302e-11,97,12998,1,0.5292426022387975,-1.9926747063688897,4.998725458338938
98,3.0806726947536954e-11,98,13132,1,0.5303025457292643,-1.9995478604974697,4.9987111555536075
99,2.899534776142043e-11,99,13266,1,0.5313690611343558,-2.0063722278357985,4.998696666558056
100,2.7307021337360915e-11,100,13400,1,0.5324420843826783,-2.0131486023485805,4.998681989124486
101,2.5732285995685012e-11,101,13534,1,0.533521553345113,-2.019877755415485,4.998667120989877
102,2.4262490712752503e-11,102,13668,1,0.5346074077606155,-2.026560436667614,4.998652059855718
103,2.2889718677781638e-11,103,13802,1,0.5356995891654914,-2.033197374785553,4.998636803387724
104,2.1606718704691655e-11,104,13936,1,0.5367980408259478,-2.0397892782611855,4.998621349215538
105,2.040684362660411e-11,105,14070,1,0.5379027076737277,-2.046336836125137,4.998605694932422
106,1.9283994904634812e-11,106,14204,1,0.5390135362446742,-2.0528407186417956,4.998589838094929
107,1.8232572773370306e-11,107,14338,1,0.5401304746200646,-2.0593015779735446,4.998573776222565
108,1.7247431324743236e-11,108,14472,1,0.5412534723705535,-2.0657200488159075,4.99855750679744
109,1.6323838001431592e-11,109,14606,1,0.5423824805025992,-2.0720967490050657,4.998541027263906
110,1.5457437031722096e-11,110,14740,1,0.5435174514072307,-2.078432280099232,4.998524335028174
111,1.4644216391128447e-11,111,14874,1,0.5446583388110515,-2.0847272279351854,4.998507427457931
112,1.3880477922913862e-11,112,15008,1,0.5458050977293394,-2.090982163161253,4.998490301881941
113,1.3162810290873527e-11,113,15142,1,0.546957684421151,-2.0971976417479135,4.998472955589627
114,1.2488064474010198e-11,114,15276,1,0.5481160563463314,-2.1033742054771682,4.998455385830648
115,1.1853331544711953e-11,115,15410,1,0.5492801721243197,-2.1095123824116997,4.998437589814469
116,1.1255922500256421e-11,116,15544,1,0.5504499914946668,-2.115612687344836,4.998419564709908
117,1.069334994239108e-11,117,15678,1,0.5516254752791896,-2.121675622232247,4.998401307644678
118,1.0163311421781749e-11,118,15812,1,0.55280658582299,-2.127701684050188,4.998382815684142
119,9.663674283637036e-12,119,15946,1,0.5539932963565137,-2.1336915067112963,4.998364085429659
120,9.192461868105646e-12,120,16080,1,0.5551855757509003,-2.1396456170822016,4.998345113690958
121,8.747840934389774e-12,121,16214,1,0.5563833898669333,-2.145564467638637,4.998325897408263
122,8.32811019114267e-12,122,16348,1,0.5575867054599386,-2.151448499961023,4.998306433477685
123,7.931689827830173e-12,123,16482,1,0.5587954746021115,-2.1572986919762958,4.998286718263003
124,7.557111952518921e-12,124,16616,1,0.5600095474401536,-2.1631196186168515,4.9982667448093
125,7.20301185112414e-12,125,16750,1,0.5612288696112162,-2.1689125020023834,4.998246508997179
126,6.86811999173819e-12,126,16884,1,0.5624534122909062,-2.1746776826144316,4.9982260074279505
127,6.551254705289201e-12,127,17018,1,0.5636832576924435,-2.180415603206736,4.998205236897426
128,6.2513154805904116e-12,128,17152,1,0.5649199940175804,-2.1861282022300514,4.998184197531755
129,5.9672768179601976e-12,129,17286,1,0.5661641168850851,-2.191816306979755,4.998162887078933
130,5.698182591027846e-12,130,17420,1,0.567415585331263,-2.197480198052442,4.9981413020576575
131,5.443140871227955e-12,131,17554,1,0.5686743596480239,-2.2031201492772947,4.998119438937374
132,5.201319173869084e-12,132,17688,1,0.5699404013435618,-2.2087364279163837,4.998097294137644
133,4.9719400885910496e-12,133,17822,1,0.5712136869404458,-2.2143293270839233,4.998074864061142
134,4.754277260547208e-12,134,17956,1,0.5724956113673163,-2.2199024329289347,4.998052148539941
135,4.5476516918322034e-12,135,18090,1,0.5737870833683525,-2.225458205195082,4.9980291462671875
136,4.35142833551758e-12,136,18224,1,0.5750880550231117,-2.230996840826739,4.998005853590467
137,4.165012957218195e-12,137,18358,1,0.5763984812191871,-2.236518526065836,4.997982266815344
138,3.9878492414279e-12,138,18492,1,0.5777183184648202,-2.2420234426914636,4.997958382197337
139,3.819416121946114e-12,139,18626,1,0.5790475248402118,-2.24751176814429,4.9979341959412515
140,3.659225317596131e-12,140,18760,1,0.580386059950686,-2.2529836756467265,4.997909704200526
141,3.5068190561326577e-12,141,18894,1,0.5817338848816156,-2.258439334319067,4.997884903076546
142,3.3617679707689184e-12,142,19028,1,0.5830909621550293,-2.263878909291719,4.997859788617962
143,3.223669155139578e-12,143,19162,1,0.5844572556878362,-2.2693025618137157,4.9978343568199906
144,3.0921443637697512e-12,144,19296,1,0.5858327448825864,-2.274710515872596,4.997808603552565
145,2.9668383462556334e-12,145,19430,1,0.5872174101723429,-2.2801029899987,4.9977825246294145
146,2.847417304391044e-12,146,19564,1,0.5886112187425752,-2.285480130556114,4.9977561158804376
147,2.7335674624070316e-12,147,19698,1,0.590014139040794,-2.2908420805282734,4.997729373079153
148,2.6249937413379555e-12,148,19832,1,0.5914261407412758,-2.296188979607484,4.997702291941947
149,2.521418529295784e-12,149,19966,1,0.592847194710935,-2.3015209642809547,4.9976748681273095
150,2.422580540132465e-12,150,20100,1,0.5942772729763952,-2.30683816791412,4.997647097235058
151,2.328233753604842e-12,151,20234,1,0.5957163486922146,-2.3121407208313314,4.997618974805551
152,2.238146430733951e-12,152,20368,1,0.597164396110238,-2.3174287503940683,4.997590496318894
153,2.152100198576034e-12,153,20502,1,0.5986213905500004,-2.322702381076699,4.997561657194122
154,2.0698891991013322e-12,154,20636,1,0.6000873083701543,-2.3279617345399295,4.997532452788383
155,1.991319297312974e-12,155,20770,1,0.6015621269408864,-2.3332069297019977,4.997502878396101
156,1.9162073441364846e-12,156,20904,1,0.6030454853923082,-2.338438338380203,4.9974729285750525
157,1.8443804899731397e-12,157,21038,1,0.6045366285908991,-2.343656625087102,4.997442597000193
158,1.7756755451409408e-12,158,21172,1,0.6060355142027782,-2.3488619133110418,4.997411878663215
159,1.7099383837316317e-12,159,21306,1,0.6075421260423579,-2.3540543049715454,4.9973807685380995
160,1.6470233876883277e-12,160,21440,1,0.609056448616778,-2.359233899677581,4.997349261530219
161,1.5867929281615051e-12,161,21574,1,0.610578467108156,-2.3644007947842187,4.997317352475386
162,1.5291168814328627e-12,162,21708,1,0.6121081673564077,-2.3695550854476197,4.997285036138909
163,1.4738721769087842e-12,163,21842,1,0.6136455358426276,-2.3746968646784383,4.997252307214616
164,1.4209423748795575e-12,164,21976,1,0.6151905596729892,-2.3798262233936773,4.997219160323875
165,1.3702172719187327e-12,165,22110,1,0.6167432265631614,-2.384943250467072,4.997185590014598
166,1.321592531960474e-12,166,22244,1,0.6183035248232165,-2.3900480327780227,4.9971515907602235
167,1.2749693412427715e-12,167,22378,1,0.6198714433430044,-2.3951406552591474,4.997117156958694
168,1.2302540854421088e-12,168,22512,1,0.6214469715779833,-2.400221200942512,4.9970822829314105
169,1.1873580474516995e-12,169,22646,1,0.623030099535492,-2.405289751004537,4.997046962922175
170,1.146197124371712e-12,170,22780,1,0.6246208177614399,-2.410346384809681,4.997011191096114
171,1.1066915623868137e-12,171,22914,1,0.6262191173273977,-2.4153911799529055,4.996974961538591
172,1.0687657083047549e-12,172,23048,1,0.6278249898180923,-2.4204242123009734,4.996938268254104
173,1.0323477766202789e-12,173,23182,1,0.6294384273192597,-2.4254455560326154,4.996901105165156
174,1e-12,174,23316,1,0.6310594224058792,-2.430455283677607,4.996863466111118
175,1e-12,175,23450,1,0.6327235130076363,-2.4352937518806828,4.996824917708457
176,1e-12,176,23584,1,0.634822734044532,-2.438201632107423,4.996780660345889
177,1e-12,177,23718,1,0.6369279866634792,-2.4411088908067047,4.996735771769522
178,1e-12,178,23852,1,0.6390392821537869,-2.444015505665985,4.996690242739234
179,1e-12,179,23986,1,0.6411566317847877,-2.4469214543488644,4.996644063875788
180,1e-12,180,24120,1,0.6432800468054949,-2.4498267144954466,4.996597225658669
181,1e-12,181,24254,1,0.6454095384442513,-2.452731263722683,4.996549718423894
182,1e-12,182,24388,1,0.6475451179083795,-2.4556350796247415,4.996501532361792
183,1e-12,183,24522,1,0.6496867963838349,-2.4585381397733537,4.996452657514739
184,1e-12,184,24656,1,0.6518345850348441,-2.461440421718157,4.996403083774863
185,1e-12,185,24790,1,0.6539884950035573,-2.4643419029870834,4.996352800881713
186,1e-12,186,24924,1,0.6561485374096854,-2.4672425610866737,4.996301798419886
187,1e-12,187,25058,1,0.6583147233501474,-2.4701423735024637,4.99625006581662
188,1e-12,188,25192,1,0.6604870638987028,-2.473041317699328,4.996197592339343
189,1e-12,189,25326,1,0.6626655701055963,-2.4759393711218327,4.996144367093201
190,1e-12,190,25460,1,0.6648502529971891,-2.4788365111945927,4.996090379018515
191,1e-12,191,25594,1,0.6670411235755946,-2.4817327153226336,4.996035616888227
192,1e-12,192,25728,1,0.6692381928183133,-2.4846279608917317,4.995980069305292
193,1e-12,193,25862,1,0.6714414716778585,-2.4875222252687874,4.995923724700022
194,1e-12,194,25996,1,0.6736509710813912,-2.490415485802163,4.995866571327409
195,1e-12,195,26130,1,0.6758667019303435,-2.493307719822044,4.995808597264375
196,1e-12,196,26264,1,0.6780886751000448,-2.4961989046408037,4.995749790407011
197,1e-12,197,26398,1,0.6803169014393484,-2.499089017553342,4.995690138467738
198,1e-12,198,26532,1,0.6825513917702508,-2.501978035837442,4.995629628972457
199,1e-12,199,26666,1,0.6847921568875128,-2.5048659367541313,4.995568249257621
200,1e-12,200,26800,1,0.6870392075582799,-2.507752697548026,4.995505986467284
201,1e-12,201,26934,1,0.6892925545216966,-2.5106382954476967,4.995442827550092
202,1e-12,202,27068,1,0.6915522084885248,-2.513522707666005,4.995378759256225
203,1e-12,203,27202,1,0.6938181801407552,-2.516405911400469,4.995313768134295
204,1e-12,204,27336,1,0.6960904801312207,-2.5192878838336084,4.995247840528193
205,1e-12,205,27470,1,0.698369119083204,-2.5221686021332905,4.995180962573878
206,1e-12,206,27604,1,0.7006541075900512,-2.5250480434530975,4.995113120196126
207,1e-12,207,27738,1,0.7029454562147737,-2.527926184932666,4.995044299105221
208,1e-12,208,27872,1,0.7052431754896578,-2.5308030036980314,4.994974484793591
209,1e-12,209,28006,1,0.7075472759158603,-2.5336784768619864,4.994903662532392
210,1e-12,210,28140,1,0.7098577679630207,-2.5365525815244285,4.9948318173680395
211,1e-12,211,28274,1,0.7121746620688567,-2.539425294772709,4.99475893411868
212,1e-12,212,28408,1,0.7144979686387587,-2.5422965936819715,4.994684997370609
213,1e-12,213,28542,1,0.7168276980453947,-2.5451664553155133,4.994609991474626
214,1e-12,214,28676,1,0.719163860628298,-2.548034856725114,4.994533900542342
215,1e-12,215,28810,1,0.7215064666934647,-2.550901774951399,4.994456708442414
216,1e-12,216,28944,1,0.7238555265129445,-2.553767187024166,4.994378398796727
217,1e-12,217,29078,1,0.7262110503244334,-2.5566310699627466,4.994298954976519
218,1e-12,218,29212,1,0.7285730483308586,-2.5594934007763377,4.994218360098425
219,1e-12,219,29346,1,0.7309415306999663,-2.562354156464343,4.99413659702048
220,1e-12,220,29480,1,0.7333165075639079,-2.565213314016721,4.9940536483380455
221,1e-12,221,29614,1,0.7356979890188247,-2.5680708504143217,4.99396949637967
222,1e-12,222,29748,1,0.7380859851244286,-2.5709267426292244,4.99388412320288
223,1e-12,223,29882,1,0.7404805059035822,-2.57378096762508,4.993797510589923
224,1e-12,224,30016,1,0.7428814001601478,-2.576634067285009,4.993709636427864
225,1e-12,225,30150,1,0.7452884331971772,-2.579486869029194,4.993620476260482
226,1e-12,226,30284,1,0.7477016088474284,-2.58233935935265,4.993530010560278
227,1e-12,227,30418,1,0.7501209338764738,-2.5851915157782455,4.9934382195516775
228,1e-12,228,30552,1,0.7525465024772453,-2.588043168088308,4.993345084109494
229,1e-12,229,30686,1,0.7549782344527745,-2.5908940757864514,4.993250584902903
230,1e-12,230,30820,1,0.75741611597436,-2.5937442031596896,4.993154701330757
231,1e-12,231,30954,1,0.7598601914917387,-2.5965935441180306,4.993057412187624
232,1e-12,232,31088,1,0.7623107394476736,-2.5994421905377023,4.992958694419009
233,1e-12,233,31222,1,0.7647678208127995,-2.6022901409859895,4.99285852597658
234,1e-12,234,31356,1,0.7672314388127219,-2.6051373521091508,4.992756884870669
235,1e-12,235,31490,1,0.7697016001671844,-2.6079837940812958,4.992653748720397
236,1e-12,236,31624,1,0.7721783135461395,-2.610829444630981,4.992549094766309
237,1e-12,237,31758,1,0.7746615875716314,-2.613674281464802,4.992442899890483
238,1e-12,238,31892,1,0.7771514308173324,-2.6165182822677235,4.992335140610701
239,1e-12,239,32026,1,0.7796478518080812,-2.6193614247034263,4.992225793074535
240,1e-12,240,32160,1,0.7821508590194304,-2.6222036864146454,4.992114833053321
241,1e-12,241,32294,1,0.7846604608771746,-2.625045045023509,4.992002235936036
242,1e-12,242,32428,1,0.7871766657568888,-2.6278854781318772,4.991887976723076
243,1e-12,243,32562,1,0.7896994819834675,-2.630724963321694,4.991772030019929
244,1e-12,244,32696,1,0.792228917830651,-2.6335634781553154,4.9916543700307425
245,1e-12,245,32830,1,0.7947649815205635,-2.636401000175853,4.991534970551781
246,1e-12,246,32964,1,0.7973076812232356,-2.6392375069075067,4.99141380496478
247,1e-12,247,33098,1,0.7998570221637136,-2.6420729481321135,4.991290846471927
248,1e-12,248,33232,1,0.8024129018026236,-2.6449062445244054,4.991166076971566
249,1e-12,249,33366,1,0.804975270758608,-2.647736836095846,4.991039473828628
250,1e-12,250,33500,1,0.8075441358329236,-2.6505647034999544,4.990911009340937
251,1e-12,251,33634,1,0.8101195037688058,-2.653389827405126,4.9907806553761445
252,1e-12,252,33768,1,0.8127013812510084,-2.6562121884948526,4.990648383364887
253,1e-12,253,33902,1,0.8152897749053318,-2.6590317674679094,4.9905141642938275
254,1e-12,254,34036,1,0.8178846912981546,-2.66184854503858,4.990377968698596
255,1e-12,255,34170,1,0.8204861369359626,-2.6646625019368377,4.990239766656603
256,1e-12,256,34304,1,0.823094118264881,-2.6674736189085566,4.990099527779746
257,1e-12,257,34438,1,0.8257086416701971,-2.670281876715711,4.989957221206993
258,1e-12,258,34572,1,0.8283297134758913,-2.6730872561365513,4.989812815596851
259,1e-12,259,34706,1,0.8309573399441637,-2.675889737965824,4.9896662791197075
260,1e-12,260,34840,1,0.8335915272749577,-2.678689303014945,4.989517579450052
261,1e-12,261,34974,1,0.8362322816054848,-2.6814859321121913,4.98936668375857
262,1e-12,262,35108,1,0.838879609009753,-2.6842796061028866,4.98921355870411
263,1e-12,263,35242,1,0.8415335154980808,-2.6870703058496006,4.989058170425521
264,1e-12,264,35376,1,0.8441940070166323,-2.689858012232309,4.988900484533357
265,1e-12,265,35510,1,0.8468610894469282,-2.692642706148587,4.988740466101449
266,1e-12,266,35644,1,0.8495347686053694,-2.6954243685137884,4.9885780796583425
267,1e-12,267,35778,1,0.8522150502427657,-2.6982029802612235,4.988413289178588
268,1e-12,268,35912,1,0.854901940043842,-2.700978522342319,4.988246058073906
269,1e-12,269,36046,1,0.8575954436267705,-2.703750975726808,4.988076349184194
270,1e-12,270,36180,1,0.8602955665426775,-2.7065203214028855,4.987904124768399
271,1e-12,271,36314,1,0.863002314275171,-2.7092865403773825,4.987729346495237
272,1e-12,272,36448,1,0.8657156922398537,-2.712049613675938,4.987551975433769
273,1e-12,273,36582,1,0.8684357057838377,-2.714809522343143,4.987371972043816
274,1e-12,274,36716,1,0.871162360185266,-2.7175662474427176,4.987189296166226
275,1e-12,275,36850,1,0.8738956606528248,-2.720319770057663,4.987003907012985
276,1e-12,276,36984,1,0.8766356123252583,-2.7230700712904174,4.986815763157166
277,1e-12,277,37118,1,0.8793822202708861,-2.7258171322630185,4.986624822522712
278,1e-12,278,37252,1,0.8821354894871147,-2.7285609341172363,4.986431042374065
279,1e-12,279,37386,1,0.884895424899953,-2.731301458014735,4.986234379305617
280,1e-12,280,37520,1,0.8876620313635266,-2.734038685137222,4.986034789231001
281,1e-12,281,37654,1,0.890435313659588,-2.7367725966865892,4.985832227372201
282,1e-12,282,37788,1,0.8932152764970325,-2.7395031738850464,4.9856266482484966
283,1e-12,283,37922,1,0.8960019245114059,-2.7422303979752667,4.985418005665216
284,1e-12,284,38056,1,0.8987952622644233,-2.7449542502205393,4.985206252702324
285,1e-12,285,38190,1,0.9015952942434766,-2.7476747119048714,4.984991341702816
286,1e-12,286,38324,1,0.9044020248611444,-2.7503917643331492,4.98477322426093
287,1e-12,287,38458,1,0.907215458454707,-2.7531053888312558,4.9845518512101705
288,1e-12,288,38592,1,0.910035599285655,-2.7558155667461937,4.984327172611132
289,1e-12,289,38726,1,0.9128624515392008,-2.7585222794462245,4.984099137739143
290,1e-12,290,38860,1,0.9156960193237902,-2.7612255083209742,4.983867695071696
291,1e-12,291,38994,1,0.918536208109916,-2.7639250263840336,4.983632794680831
292,1e-12,292,39128,1,0.9213828873750254,-2.766620533118314,4.983394386818354
293,1e-12,293,39262,1,0.9242360589656828,-2.769312009571778,4.983152417751578
294,1e-12,294,39396,1,0.9270957253988037,-2.7719994384029256,4.982906832886594
295,1e-12,295,39530,1,0.9299618891131107,-2.7746828022948637,4.982657576772875
296,1e-12,296,39664,1,0.9328345524687047,-2.777362083955357,4.982404593089635
297,1e-12,297,39798,1,0.9357137177466384,-2.7800372661168757,4.982147824631961
298,1e-12,298,39932,1,0.9385993871484775,-2.7827083315366057,4.981887213296744
299,1e-12,299,40066,1,0.9414915627958758,-2.7853752629965136,4.981622700068362
300,1e-12,300,40200,1,0.9443902467301446,-2.7880380433033585,4.981354225004162
301,1e-12,301,40334,1,0.9472954409118208,-2.790696655288727,4.981081727219686
302,1e-12,302,40468,1,0.9502071472202445,-2.7933510818090586,4.98080514487369
303,1e-12,303,40602,1,0.9531253674531204,-2.7960013057456683,4.980524415152906
304,1e-12,304,40736,1,0.956050103326094,-2.798647310004773,4.980239474256568
305,1e-12,305,40870,1,0.9589813564723304,-2.8012890775174983,4.979950257380705
306,1e-12,306,41004,1,0.9619191284420774,-2.8039265912399016,4.979656698702168
307,1e-12,307,41138,1,0.9648634207022433,-2.806559834152984,4.979358731362423
308,1e-12,308,41272,1,0.9678142346359726,-2.8091887892626906,4.979056287451075
309,1e-12,309,41406,1,0.9707715715422205,-2.811813439599935,4.978749297989145
310,1e-12,310,41540,1,0.9737354326353214,-2.8144337682205838,4.978437692912072
311,1e-12,311,41674,1,0.9767058190445776,-2.8170497582054708,4.978121401052461
312,1e-12,312,41808,1,0.9796827318138213,-2.8196613926603877,4.97780035012255
